序号,用户,评论,时间
3477,我鸟月干Memes,ヾ(◍ ° ㉨ ° ◍)ﾉﾞ没想到是个可爱小姐姐耶//:漫长的过程，又完成一件。小作文略长，能看完的都应该是真爱了吧,3月30日 00:42
29102,遥颖永相随LOVE,㊗️ 奶奶👵🏻 身体健康，万事如意，㊗️ 柒姐天天开心^_^，还要多多休息啊，民国也要天天开心^_^,3月21日 23:05
32475,流萤慕乙,做自己喜欢做的事情，并且能做到极致真好,3月21日 15:42
24474,吉祥如意顺遂,做自己喜欢的事是一种享受,3月22日 20:39
1653,蚂蚁糖豆,做自己喜欢的事，真美好！🌹🌹,4月5日 22:37
1729,violet_zarroo,做自己喜欢的事，就有一份坚持,4月5日 00:54
6733,千里马儿NJR,做自己爱做的事，沉浸于此，满眼都是爱,3月26日 00:32
325,AMOUR-小邋遢,做子柒的奶奶真的太幸福了,5月3日 17:56
31834,养森瘦瘦包总经销商点点,做子柒的猫一定很幸福,3月21日 17:07
14536,OhhHouhou,做衣服也是我的未实现清单中的一项,3月23日 12:23
9227,甜甜爱许嵩,做衣服剩下的布头送吗,3月24日 12:52
25846,孙大圣2013,做衣服看上去好简单,3月22日 15:18
31586,远在远方0202,做视频太用心了，女神！,3月21日 17:43
1537,亲爱的唐桃子同学,做事超级利落，看着就很畅快,4月7日 19:21
22704,小猴子的长尾巴,做盘扣的画面真的迷到了，反反复复好几遍,3月22日 21:43
14509,自信-从变美开始,做梦都梦见你  我的李子柒小姐姐,3月23日 12:28
5182,恩豆子,做后这一幕也太美了叭,3月27日 18:08
23816,芊暮DAYTOY,做个视频太难了，春天来了,3月22日 21:04
5892,方先生life,做个男款的不好吗,3月26日 21:32
30098,银河在你眼中有迹可循,做个蓝印花裙吧,3月21日 21:10
9978,月光和柒柒,做个好梦,3月23日 23:57
3073,佳期子丨,做噩梦了 很可怕 吓醒了赶紧来看看美好的子柒压压惊,3月31日 06:03
17755,老頑童楊八妹1,做的真好，好手艺要继续下去，支持你！祖孙俩都蓝在一起？你家的狗猫都长大了，小花猫和黑猫来劲啰！,3月23日 01:53
12555,鱼沉予升,做的真好 膜拜子柒,3月23日 17:05
23972,风信子_丫丫,做的真好,3月22日 20:59
9506,Hygge不加糖·,做的衣服可真好看。一件衣服多少钱？,3月24日 09:40
28663,木头永远爱石头,做的衣服好美,3月21日 23:52
16504,驰名双标王大锤,做的也太好看了,3月23日 08:41
1219,椰子树下的小花520,做的太精致了，不管是画面还是整个制作的过程…我们的生活应该慢下来，让这个手艺得以传承,4月13日 09:26
32425,有自然卷的人都不坏,做的太好了，莫名的感动,3月21日 15:47
32371,瞧见你心里便欢喜,做的太棒了 爱仙女姐姐,3月21日 15:53
1827,YYTT_T,做的太棒了,4月4日 18:57
