序号,用户,评论,时间
0,大鱼龙猫,神乎其技！我嘴巴好半天都合不上，太厉害了啊！,5月4日 07:02
1,Butterfly_Kissfire,高人,5月4日 16:41
2,娓娓日记,崇拜了，厉害，高手在民间,5月4日 09:48
3,MD_V点点,太绝了太赞太赞,5月4日 08:01
4,欢乐宝贝儿,太厉害了,5月4日 07:54
5,且听今夏风吟,致敬大国工匠，传续经典！,5月4日 07:16
6,爱坤滴乐颜,工匠 震惊,5月4日 07:00
7,June__jj,致敬那些为传承中华优秀传统文化的匠人！,5月4日 13:13
8,梁松先生,哇偶,5月4日 12:09
9,白岒夜行,震撼！那样的镂空细节是怎么做到的！ 还有这么好的寓意,5月4日 11:46
10,骑着毛驴撞火车QQ,这就是工匠精神,5月4日 11:29
11,张瑜me,哇啊！现代张择端！,5月4日 11:02
12,番茄芝芝_,从他的话语神态中我都能感受到浓浓的热爱 做自己喜欢的事情即使再细微漫长也很幸福 这种感觉真棒啊,5月4日 09:23
13,何方妖孽14803,让我想起来了 穆斯林的葬礼里面的 雕玉师傅，尊敬！,5月4日 07:56
14,薛小样,原谅小子我没文化，只能用卧槽来表达,5月4日 07:21
15,静悄悄2012,高超技术，工匠，厉害👍🏻,5月4日 07:13
16,畅畅_SUN,赞,5月4日 07:09
17,冰糖炖雪梨yc,这就是大国工匠,5月4日 07:03
18,Minozxue,这四年谁知道他经历了什么，太厉害了，我们的四年又留下了什么,5月4日 06:59
19,乔小姐的玉兔先生,震撼,5月4日 06:53
20,查无此king,太厉害了👍,5月4日 06:52
21,Ga嘎呀,了不起了不起,5月5日 09:23
22,Karry酸了,致敬大国工匠！,5月5日 08:44
23,淡若晴浅,大国工匠,5月4日 21:28
24,mecki2009,叹为观止,5月4日 21:00
25,益往无前,太厉害了！,5月4日 19:49
26,Jadeitle,大国工匠！,5月4日 16:02
27,椒盐儿小姐姐,太厉害了吧，将来也会成为文物,5月4日 16:01
28,雷蘑,太厉害了,5月4日 15:27
29,山海相知,连天盖连！,5月4日 15:26
30,sunnysunnysunny888,在几个版本的《清明上河图》中，现收藏于故宫的北宋张择端的，是最优秀的！—— 艺术上更雅逸，气韵上更生气勃勃......,5月4日 14:53
31,野生安利KW,//:工匠精神体现的淋漓尽致//:传世之作致敬大国工匠！,5月4日 14:07
32,浅野小文,厉害！,5月4日 14:01
33,叫我大脸波波波,我的下巴掉了,5月4日 13:36
34,是时光让耳朵变得宽容,收徒不,5月4日 13:15
35,深海周记,真的太厉害了！！,5月4日 12:25
36,撩烊高级程序员,说牛逼这两个字感觉都玷污了这个作品,5月4日 12:16
37,光怪陆离的味道,匠人,5月4日 11:53
38,猪妖o_o,好牛逼啊！！！,5月4日 11:52
39,韵霏微,盛世出奇作！,5月4日 11:41
40,随风飘絮兮,哇！技艺高超，寓意也美好，真是太棒了！,5月4日 10:42
41,独爱爽妹妹,致敬大国工匠,5月4日 10:24
42,小小梦苏舒,太牛了,5月4日 10:22
43,安然anning,转发微博,5月4日 09:52
44,吃太胖会被杀死o,太牛了,5月4日 09:50
45,红小龙,请问这是展览在哪里呢？,5月4日 09:49
46,睿智灯塔,大国工匠，工匠精神，深不可测,5月4日 09:26
47,我是一只爱伦喵,真绝,5月4日 09:26
48,LING不负韶华,可以放到博物馆收藏了,5月4日 09:17
49,娱乐圈资深记者,万一着火,5月4日 09:15
50,我为和狂,匠心巨制，致敬大国工匠！,5月4日 09:10
51,墨是老詹球迷,太太太厉害了！！！,5月4日 08:57
52,EaTMORe_,真的太厉害了，简直不敢相信,5月4日 08:50
53,海河王我当定了,顶,5月4日 08:47
54,羊城风云,这是真雕,5月4日 08:43
55,一个小肉侬,这才是时代的偶像,5月4日 08:39
